This is Ultimate 0.1.23-3204b74
[2018-10-30 21:35:36,963 INFO  L170        SettingsManager]: Resetting all preferences to default values...
[2018-10-30 21:35:36,966 INFO  L174        SettingsManager]: Resetting UltimateCore preferences to default values
[2018-10-30 21:35:36,992 INFO  L177        SettingsManager]: Ultimate Commandline Interface provides no preferences, ignoring...
[2018-10-30 21:35:36,993 INFO  L174        SettingsManager]: Resetting Boogie Preprocessor preferences to default values
[2018-10-30 21:35:36,994 INFO  L174        SettingsManager]: Resetting Boogie Procedure Inliner preferences to default values
[2018-10-30 21:35:36,997 INFO  L174        SettingsManager]: Resetting Abstract Interpretation preferences to default values
[2018-10-30 21:35:37,000 INFO  L174        SettingsManager]: Resetting LassoRanker preferences to default values
[2018-10-30 21:35:37,004 INFO  L174        SettingsManager]: Resetting Reaching Definitions preferences to default values
[2018-10-30 21:35:37,005 INFO  L174        SettingsManager]: Resetting SyntaxChecker preferences to default values
[2018-10-30 21:35:37,007 INFO  L177        SettingsManager]: Büchi Program Product provides no preferences, ignoring...
[2018-10-30 21:35:37,007 INFO  L174        SettingsManager]: Resetting LTL2Aut preferences to default values
[2018-10-30 21:35:37,009 INFO  L174        SettingsManager]: Resetting BlockEncodingV2 preferences to default values
[2018-10-30 21:35:37,011 INFO  L174        SettingsManager]: Resetting AutomataScriptInterpreter preferences to default values
[2018-10-30 21:35:37,012 INFO  L174        SettingsManager]: Resetting BuchiAutomizer preferences to default values
[2018-10-30 21:35:37,016 INFO  L174        SettingsManager]: Resetting CACSL2BoogieTranslator preferences to default values
[2018-10-30 21:35:37,021 INFO  L174        SettingsManager]: Resetting CodeCheck preferences to default values
[2018-10-30 21:35:37,023 INFO  L174        SettingsManager]: Resetting InvariantSynthesis preferences to default values
[2018-10-30 21:35:37,026 INFO  L174        SettingsManager]: Resetting RCFGBuilder preferences to default values
[2018-10-30 21:35:37,028 INFO  L174        SettingsManager]: Resetting TraceAbstraction preferences to default values
[2018-10-30 21:35:37,033 INFO  L177        SettingsManager]: TraceAbstractionConcurrent provides no preferences, ignoring...
[2018-10-30 21:35:37,034 INFO  L177        SettingsManager]: TraceAbstractionWithAFAs provides no preferences, ignoring...
[2018-10-30 21:35:37,035 INFO  L174        SettingsManager]: Resetting IcfgTransformer preferences to default values
[2018-10-30 21:35:37,037 INFO  L174        SettingsManager]: Resetting Boogie Printer preferences to default values
[2018-10-30 21:35:37,039 INFO  L174        SettingsManager]: Resetting Witness Printer preferences to default values
[2018-10-30 21:35:37,041 INFO  L177        SettingsManager]: Boogie PL CUP Parser provides no preferences, ignoring...
[2018-10-30 21:35:37,041 INFO  L174        SettingsManager]: Resetting CDTParser preferences to default values
[2018-10-30 21:35:37,043 INFO  L177        SettingsManager]: PEA to Boogie provides no preferences, ignoring...
[2018-10-30 21:35:37,043 INFO  L177        SettingsManager]: AutomataScriptParser provides no preferences, ignoring...
[2018-10-30 21:35:37,043 INFO  L174        SettingsManager]: Resetting Witness Parser preferences to default values
[2018-10-30 21:35:37,044 INFO  L181        SettingsManager]: Finished resetting all preferences to default values...
[2018-10-30 21:35:37,097 INFO  L81    nceAwareModelManager]: Repository-Root is: /tmp
[2018-10-30 21:35:37,143 INFO  L266   ainManager$Toolchain]: [Toolchain 1]: Parser(s) successfully initialized
[2018-10-30 21:35:37,155 INFO  L222   ainManager$Toolchain]: [Toolchain 1]: Toolchain data selected.
[2018-10-30 21:35:37,158 INFO  L271        PluginConnector]: Initializing AutomataScriptParser...
[2018-10-30 21:35:37,158 INFO  L276        PluginConnector]: AutomataScriptParser initialized
[2018-10-30 21:35:37,165 INFO  L431   ainManager$Toolchain]: [Toolchain 1]: Parsing single file: /home/arijit/verification/ApnaAutomizer/./temp/apna_ats.ats
[2018-10-30 21:35:37,170 INFO  L88    AutomataScriptParser]: Parsing '/home/arijit/verification/ApnaAutomizer/./temp/apna_ats.ats'
[2018-10-30 21:35:37,423 INFO  L304   ainManager$Toolchain]: ####################### [Toolchain 1] #######################
[2018-10-30 21:35:37,426 INFO  L131        ToolchainWalker]: Walking toolchain with 1 elements.
[2018-10-30 21:35:37,427 INFO  L113        PluginConnector]: ------------------------AutomataScriptInterpreter----------------------------
[2018-10-30 21:35:37,428 INFO  L271        PluginConnector]: Initializing AutomataScriptInterpreter...
[2018-10-30 21:35:37,428 INFO  L276        PluginConnector]: AutomataScriptInterpreter initialized
